Escalar,Percentil Min,Percentil Max,F_Raw ScoreMin,F_Raw ScoreMax,F_Last Item ScoreMin,F_Last Item ScoreMax,B_Raw ScoreMin,B_Raw ScoreMax,B_Last Item ScoreMin,B_Last Item ScoreMax
2,0,0.99,0,2,0,1,0,1,0,0
3,1,1,2,2,1,1,1,1,0,0
4,2,2,2,2,1,1,1,1,0,0
5,3,5,3,3,2,2,2,2,1,1
6,6,10,4,4,2,2,3,3,1,1
7,11,18,4,4,2,2,4,4,2,2
8,19,28,5,5,2,2,4,4,2,2
9,29,40,5,5,3,3,5,5,2,2
10,41,59,6,7,4,4,5,5,3,3
11,60,71,8,8,4,4,6,6,3,3
12,72,81,9,9,4,4,7,7,4,4
13,82,89,9,9,5,5,8,8,4,4
14,90,94,10,10,5,5,9,9,5,5
15,95,97,10,10,6,6,9,9,5,5
16,98,98,10,10,6,6,9,9,5,5
17,99,99,11,11,7,7,10,10,5,5
18,99.01,100,12,1000,8,8,11,1000,6,1000
Sample Size,0,0,133,133,0,0,0,0,0,0
